timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432449276934	-86	-60	-43	-60	-65	-70	-120	-81	-96	-53	-60	-120	
1432449278366	-86	-59	-43	-61	-65	-69	-72	-81	-89	-53	-62	-120	
1432449279898	-84	-59	-44	-62	-66	-69	-72	-81	-91	-53	-64	-80	
1432449281424	-83	-59	-42	-62	-65	-68	-74	-81	-95	-55	-62	-80	
1432449282959	-83	-60	-44	-64	-65	-69	-73	-120	-95	-54	-66	-80	
1432449284393	-82	-60	-43	-63	-63	-69	-72	-120	-94	-53	-65	-120	
1432449285923	-84	-60	-43	-62	-64	-70	-71	-85	-94	-55	-66	-76	
1432449287359	-84	-59	-43	-61	-66	-69	-71	-85	-89	-53	-62	-76	
1432449288898	-84	-59	-43	-61	-67	-69	-71	-85	-88	-53	-61	-76	
1432449290437	-84	-59	-44	-62	-66	-69	-71	-85	-92	-53	-65	-76	
1432449291970	-85	-58	-44	-61	-66	-69	-72	-120	-91	-55	-65	-120	
1432449293398	-84	-59	-43	-61	-66	-69	-73	-120	-91	-53	-62	-120	
1432449294931	-84	-58	-44	-62	-66	-69	-72	-120	-93	-53	-62	-77	
1432449296362	-84	-59	-43	-61	-64	-69	-73	-120	-93	-53	-61	-80	
1432449297893	-85	-59	-43	-61	-66	-69	-71	-80	-91	-53	-62	-78	
1432449299437	-85	-58	-44	-61	-67	-69	-72	-80	-91	-53	-60	-78	
1432449300979	-84	-59	-44	-61	-66	-69	-72	-80	-92	-53	-65	-78	
1432449302409	-83	-59	-44	-62	-65	-69	-72	-85	-89	-53	-61	-77	
1432449303945	-82	-57	-43	-61	-66	-68	-72	-85	-88	-53	-61	-77	
1432449305380	-84	-58	-44	-62	-66	-68	-72	-85	-87	-53	-61	-78	
1432449306910	-83	-59	-43	-60	-66	-72	-71	-85	-92	-54	-65	-77	
1432449308546	-83	-59	-44	-62	-65	-69	-74	-120	-92	-53	-62	-77	
1432449309882	-83	-58	-44	-61	-67	-69	-74	-120	-92	-54	-62	-77	
1432449311414	-86	-59	-44	-62	-65	-69	-73	-120	-91	-53	-61	-77	
