timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432449375358	-85	-62	-62	-63	-68	-69	-67	-76	-84	-53	-59	-74	
1432449376981	-85	-63	-61	-63	-70	-72	-67	-120	-84	-51	-58	-74	
1432449378406	-82	-61	-61	-60	-69	-72	-69	-80	-84	-52	-59	-74	
1432449379933	-84	-62	-59	-63	-68	-70	-68	-80	-88	-52	-58	-73	
1432449381370	-85	-62	-61	-61	-70	-70	-68	-80	-88	-51	-59	-73	
1432449382897	-88	-63	-58	-63	-69	-73	-70	-80	-85	-52	-58	-73	
1432449384416	-91	-61	-57	-62	-70	-73	-72	-80	-85	-52	-57	-72	
1432449385843	-91	-63	-59	-61	-70	-73	-71	-80	-87	-52	-58	-72	
1432449387394	-91	-62	-59	-60	-71	-72	-68	-80	-86	-51	-58	-71	
1432449388920	-88	-63	-59	-61	-71	-71	-72	-80	-86	-52	-57	-71	
1432449390446	-91	-64	-58	-62	-74	-73	-72	-80	-87	-52	-57	-71	
1432449391873	-92	-63	-58	-61	-74	-73	-71	-82	-87	-52	-58	-71	
1432449393400	-92	-62	-59	-61	-70	-71	-71	-82	-88	-52	-58	-73	
1432449394936	-92	-62	-59	-62	-71	-73	-71	-82	-86	-52	-58	-73	
1432449396362	-92	-63	-58	-62	-71	-72	-72	-120	-86	-53	-58	-73	
1432449397889	-93	-63	-58	-62	-72	-71	-73	-120	-87	-52	-58	-74	
1432449399416	-94	-63	-58	-62	-73	-71	-72	-120	-85	-52	-57	-74	
1432449400841	-92	-63	-59	-61	-71	-73	-71	-120	-86	-52	-58	-73	
1432449402367	-89	-63	-58	-60	-72	-71	-71	-78	-88	-52	-58	-73	
1432449403888	-89	-63	-59	-60	-71	-71	-71	-78	-88	-52	-58	-74	
1432449405425	-89	-62	-59	-61	-73	-72	-70	-78	-86	-51	-57	-74	
1432449406952	-92	-64	-60	-62	-72	-71	-72	-80	-87	-52	-59	-71	
1432449408378	-92	-63	-59	-62	-71	-71	-71	-82	-86	-52	-59	-73	
1432449409902	-94	-64	-56	-60	-69	-71	-68	-82	-86	-53	-58	-73	
1432449411428	-86	-64	-59	-62	-69	-69	-68	-79	-88	-52	-58	-74	
1432449412858	-87	-65	-67	-62	-68	-73	-70	-79	-88	-52	-62	-71	
