timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432449322917	-84	-64	-49	-67	-68	-76	-77	-120	-88	-50	-56	-72	
1432449324451	-82	-64	-47	-67	-68	-76	-75	-71	-86	-51	-57	-71	
1432449325980	-82	-63	-47	-69	-68	-77	-76	-76	-86	-50	-57	-71	
1432449327406	-82	-64	-47	-70	-67	-77	-76	-78	-89	-50	-73	-71	
1432449328938	-83	-64	-47	-69	-69	-76	-77	-78	-86	-50	-56	-71	
1432449330466	-83	-65	-47	-68	-68	-75	-83	-79	-87	-50	-58	-71	
1432449331893	-84	-63	-47	-70	-69	-77	-74	-79	-87	-51	-57	-71	
1432449333413	-85	-64	-47	-69	-68	-77	-76	-78	-84	-51	-55	-71	
1432449334939	-83	-64	-47	-70	-68	-78	-75	-78	-83	-52	-57	-71	
1432449336462	-81	-66	-47	-70	-68	-76	-77	-72	-88	-51	-58	-71	
1432449337993	-81	-65	-47	-70	-67	-77	-77	-79	-87	-51	-57	-72	
1432449339521	-81	-63	-47	-71	-67	-76	-77	-79	-89	-51	-56	-72	
1432449340956	-81	-68	-47	-69	-68	-76	-77	-79	-88	-50	-58	-72	
1432449342484	-81	-65	-47	-69	-67	-76	-77	-120	-88	-50	-56	-72	
1432449343912	-83	-63	-47	-69	-67	-76	-77	-120	-89	-50	-55	-72	
1432449345439	-83	-64	-46	-69	-67	-77	-77	-120	-87	-51	-58	-72	
1432449346964	-82	-63	-46	-70	-67	-77	-76	-120	-91	-50	-58	-72	
1432449348395	-82	-64	-46	-69	-67	-76	-76	-120	-86	-51	-59	-72	
1432449349923	-82	-64	-46	-70	-67	-76	-77	-83	-89	-51	-58	-72	
1432449351447	-82	-61	-47	-72	-68	-78	-77	-76	-87	-51	-56	-72	
1432449352974	-83	-67	-47	-70	-67	-76	-75	-76	-88	-50	-58	-71	
1432449354402	-83	-63	-46	-69	-67	-76	-78	-76	-89	-50	-58	-71	
1432449355925	-87	-62	-44	-66	-66	-75	-71	-80	-84	-50	-56	-68	
1432449357450	-87	-61	-46	-68	-67	-78	-72	-77	-83	-51	-56	-68	
1432449358998	-85	-60	-46	-67	-68	-79	-74	-77	-83	-50	-56	-68	
1432449360423	-85	-60	-46	-67	-65	-76	-74	-77	-83	-50	-56	-120	
1432449361947	-85	-59	-46	-68	-66	-76	-73	-79	-84	-53	-58	-71	
1432449363478	-88	-63	-45	-67	-66	-75	-73	-79	-83	-49	-55	-70	
1432449364905	-88	-60	-46	-66	-66	-76	-73	-76	-85	-50	-58	-71	
