timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432449424503	-79	-64	-61	-56	-68	-64	-79	-76	-83	-47	-70	-67	
1432449426033	-87	-61	-61	-57	-66	-63	-79	-120	-80	-49	-56	-66	
1432449427455	-87	-63	-62	-58	-68	-62	-79	-73	-82	-49	-55	-66	
1432449428976	-84	-66	-59	-58	-69	-62	-80	-79	-82	-49	-55	-68	
1432449430517	-87	-67	-65	-57	-68	-60	-78	-79	-84	-48	-53	-67	
1432449432041	-87	-70	-63	-56	-70	-63	-78	-79	-85	-47	-53	-67	
1432449433480	-87	-67	-62	-57	-73	-63	-79	-120	-84	-48	-53	-67	
1432449435006	-80	-64	-62	-58	-69	-64	-80	-120	-82	-47	-58	-67	
1432449436536	-82	-64	-61	-58	-69	-64	-80	-120	-83	-47	-58	-67	
1432449437961	-82	-64	-61	-58	-68	-64	-82	-76	-82	-46	-56	-67	
1432449439479	-81	-65	-61	-58	-71	-63	-79	-74	-83	-46	-56	-66	
1432449441004	-82	-65	-61	-59	-68	-63	-76	-74	-83	-48	-55	-66	
1432449442539	-82	-66	-61	-58	-67	-63	-80	-74	-83	-47	-57	-67	
1432449443966	-82	-67	-61	-58	-68	-63	-80	-120	-82	-47	-56	-66	
1432449445493	-80	-64	-59	-59	-68	-63	-80	-120	-83	-47	-55	-66	
1432449447026	-82	-65	-61	-58	-69	-70	-79	-120	-83	-48	-55	-66	
1432449448551	-80	-66	-61	-58	-68	-63	-80	-120	-83	-48	-56	-67	
1432449449978	-81	-66	-59	-59	-68	-63	-80	-75	-83	-48	-59	-67	
1432449451507	-81	-64	-60	-57	-67	-63	-80	-75	-83	-46	-56	-66	
1432449453033	-86	-67	-60	-58	-67	-63	-80	-75	-83	-47	-56	-66	
1432449454551	-81	-65	-60	-57	-66	-63	-80	-75	-84	-47	-56	-67	
1432449456078	-84	-68	-60	-58	-69	-63	-77	-74	-83	-47	-57	-67	
