timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432450860874	-76	-58	-60	-61	-73	-73	-81	-120	-120	-48	-58	-77	
1432450862328	-76	-60	-63	-60	-73	-70	-81	-120	-120	-47	-60	-77	
1432450863866	-75	-60	-59	-60	-75	-71	-82	-120	-89	-47	-58	-77	
1432450865301	-76	-59	-59	-60	-75	-71	-81	-120	-89	-47	-57	-77	
1432450866835	-76	-60	-58	-60	-71	-71	-81	-120	-89	-47	-57	-77	
1432450868363	-83	-58	-56	-59	-75	-76	-82	-120	-89	-47	-59	-77	
1432450869895	-76	-59	-55	-59	-75	-71	-82	-120	-88	-47	-58	-120	
1432450871332	-76	-59	-57	-60	-75	-71	-81	-120	-94	-47	-59	-120	
1432450872863	-76	-59	-56	-60	-78	-71	-81	-120	-88	-47	-57	-120	
1432450874296	-79	-59	-56	-60	-73	-71	-81	-120	-85	-47	-57	-120	
1432450875832	-77	-59	-53	-62	-73	-72	-81	-120	-85	-48	-57	-77	
1432450877366	-80	-59	-54	-60	-73	-72	-83	-120	-88	-47	-57	-77	
1432450878805	-81	-59	-54	-58	-77	-72	-81	-84	-88	-46	-56	-77	
1432450880339	-81	-58	-58	-59	-71	-72	-77	-84	-89	-47	-56	-120	
1432450881857	-78	-58	-56	-59	-70	-73	-77	-84	-89	-48	-58	-120	
1432450883384	-81	-58	-57	-58	-70	-74	-77	-84	-89	-48	-57	-120	
1432450884902	-79	-58	-54	-57	-70	-75	-77	-120	-90	-48	-58	-74	
1432450886322	-78	-58	-55	-58	-69	-75	-76	-120	-89	-48	-57	-75	
1432450887837	-80	-59	-55	-57	-71	-74	-76	-120	-92	-48	-58	-75	
1432450889368	-78	-62	-55	-58	-76	-73	-81	-87	-93	-48	-58	-74	
1432450890793	-76	-60	-56	-58	-76	-75	-79	-87	-90	-48	-58	-76	
1432450892313	-78	-60	-55	-58	-71	-74	-79	-87	-90	-48	-58	-77	
1432450893830	-78	-59	-55	-60	-75	-73	-78	-86	-90	-48	-57	-76	
1432450895352	-83	-59	-56	-58	-75	-74	-81	-86	-89	-48	-58	-76	
1432450896781	-83	-58	-62	-58	-71	-75	-79	-86	-89	-48	-58	-76	
1432450898395	-83	-58	-55	-59	-71	-72	-79	-90	-88	-47	-58	-76	
1432450899819	-78	-58	-55	-59	-72	-72	-81	-88	-86	-47	-59	-120	
1432450901355	-81	-57	-54	-57	-69	-74	-77	-88	-86	-47	-58	-120	
1432450902879	-81	-59	-54	-59	-70	-78	-77	-88	-86	-48	-58	-75	
1432450904404	-77	-60	-54	-58	-70	-78	-79	-88	-88	-47	-59	-75	
1432450905822	-77	-58	-54	-59	-68	-75	-79	-120	-88	-47	-58	-75	
1432450907347	-78	-60	-54	-57	-67	-75	-79	-120	-88	-46	-60	-75	
