timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432450475649	-80	-62	-50	-60	-67	-77	-120	-85	-82	-52	-59	-120	
1432450477074	-83	-63	-53	-60	-67	-81	-84	-85	-82	-48	-59	-69	
1432450478618	-76	-68	-54	-58	-69	-75	-81	-83	-81	-48	-57	-69	
1432450480045	-77	-69	-53	-59	-68	-75	-81	-76	-83	-47	-58	-70	
1432450481573	-79	-69	-52	-60	-68	-74	-81	-81	-85	-48	-59	-70	
1432450483097	-76	-70	-52	-58	-72	-75	-82	-81	-84	-48	-58	-71	
1432450484620	-79	-69	-53	-58	-69	-77	-82	-80	-84	-48	-58	-71	
1432450486048	-78	-69	-52	-58	-75	-77	-82	-81	-83	-48	-59	-71	
1432450487574	-78	-69	-52	-59	-69	-74	-79	-81	-83	-47	-59	-70	
1432450489114	-80	-66	-52	-59	-68	-74	-79	-87	-85	-48	-58	-70	
1432450490639	-79	-72	-50	-59	-68	-76	-79	-87	-82	-49	-58	-68	
1432450492066	-78	-64	-51	-60	-73	-77	-120	-87	-81	-49	-58	-68	
1432450493599	-80	-62	-52	-59	-69	-76	-81	-87	-81	-49	-57	-68	
1432450495123	-78	-68	-52	-60	-73	-77	-82	-120	-81	-48	-59	-68	
1432450496551	-78	-67	-53	-59	-73	-74	-80	-120	-80	-48	-58	-68	
1432450498081	-77	-65	-53	-59	-73	-77	-81	-120	-82	-49	-58	-69	
1432450499618	-77	-69	-53	-59	-69	-76	-81	-83	-83	-48	-60	-69	
1432450501045	-83	-65	-53	-59	-71	-81	-81	-86	-85	-49	-59	-69	
1432450502574	-83	-69	-54	-60	-69	-77	-82	-86	-83	-48	-59	-69	
1432450504104	-83	-69	-52	-61	-69	-78	-82	-86	-83	-51	-58	-69	
1432450505639	-78	-67	-52	-61	-73	-75	-81	-120	-83	-51	-59	-69	
1432450507064	-78	-69	-50	-61	-71	-75	-86	-120	-82	-52	-59	-69	
1432450508598	-73	-68	-51	-61	-69	-75	-83	-120	-83	-51	-59	-68	
1432450510125	-77	-68	-48	-64	-64	-76	-86	-81	-83	-49	-60	-68	
1432450511649	-77	-69	-46	-63	-65	-75	-86	-81	-83	-48	-61	-68	
1432450513168	-77	-69	-47	-61	-65	-78	-86	-81	-83	-52	-60	-68	
1432450514593	-77	-70	-48	-63	-64	-74	-82	-120	-83	-50	-59	-68	
1432450516106	-77	-75	-47	-63	-64	-74	-83	-120	-83	-48	-61	-68	
1432450517632	-79	-69	-48	-62	-63	-74	-82	-120	-81	-50	-61	-69	
