timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432449480623	-79	-53	-61	-61	-75	-74	-74	-73	-87	-44	-59	-66	
1432449482146	-74	-56	-70	-62	-76	-83	-75	-120	-86	-48	-62	-66	
1432449483672	-74	-57	-70	-58	-77	-81	-77	-120	-86	-45	-62	-69	
1432449485198	-76	-54	-70	-59	-78	-77	-77	-120	-86	-44	-62	-69	
1432449486633	-75	-54	-68	-61	-76	-78	-77	-75	-85	-45	-61	-68	
1432449488157	-77	-53	-69	-60	-77	-78	-76	-75	-84	-45	-61	-68	
1432449489697	-77	-53	-69	-62	-77	-77	-76	-75	-86	-46	-60	-69	
1432449491124	-77	-56	-69	-61	-77	-76	-76	-75	-87	-45	-60	-69	
1432449492650	-76	-53	-68	-61	-77	-76	-76	-75	-87	-45	-61	-69	
1432449494177	-79	-53	-69	-61	-75	-76	-76	-120	-86	-44	-60	-120	
1432449495706	-78	-53	-70	-63	-76	-76	-76	-120	-86	-44	-61	-120	
1432449497134	-79	-54	-69	-63	-77	-74	-76	-77	-87	-44	-60	-67	
1432449498653	-79	-53	-67	-62	-77	-75	-76	-77	-91	-44	-61	-68	
1432449500178	-78	-54	-68	-62	-77	-75	-76	-80	-87	-44	-60	-67	
1432449501705	-77	-53	-69	-61	-78	-75	-76	-76	-86	-44	-61	-67	
1432449503131	-78	-53	-68	-61	-78	-73	-74	-79	-86	-44	-60	-67	
1432449504658	-77	-52	-70	-64	-75	-74	-74	-78	-85	-44	-61	-67	
1432449506183	-79	-53	-71	-65	-75	-75	-74	-78	-86	-44	-59	-67	
1432449507718	-77	-54	-68	-64	-76	-74	-120	-78	-85	-45	-60	-66	
1432449509144	-80	-53	-70	-59	-79	-75	-120	-91	-85	-45	-60	-66	
1432449510669	-76	-55	-67	-65	-76	-75	-73	-91	-87	-47	-61	-66	
1432449512195	-76	-56	-66	-62	-80	-77	-73	-91	-88	-47	-62	-120	
1432449513618	-79	-56	-71	-65	-76	-73	-74	-91	-87	-44	-62	-120	
1432449515136	-79	-56	-69	-63	-79	-75	-74	-81	-89	-44	-61	-120	
1432449516662	-77	-56	-68	-62	-77	-74	-73	-81	-91	-44	-61	-68	
1432449518173	-79	-57	-68	-64	-74	-74	-73	-78	-89	-43	-60	-120	
1432449519685	-79	-57	-69	-67	-74	-73	-73	-79	-88	-43	-62	-66	
1432449521202	-78	-56	-68	-67	-75	-73	-73	-79	-89	-43	-60	-67	
1432449522631	-78	-56	-66	-65	-76	-74	-120	-79	-88	-44	-60	-67	
