"x","y","AP1","AP2","AP3","AP4","AP5","AP6","AP7","AP8","AP9","AP10","AP11"
"720",4,4,-68,-61,-56,-60,-81,-69,-72,-61,-57,-52,-70
"721",4,3.3,-71,-64,-49,-67,-81,-78,-76,-60,-64,-49,-70
"722",4,2.6,-68,-62,-49,-58,-66,-70,-80,-70,-67,-52,-67
"723",4,2,-64,-61,-50,-70,-71,-77,-82,-62,-67,-53,-65
"724",4,1.3,-64,-60,-50,-77,-74,-73,-77,-63,-67,-57,-54
"725",4,0.6,-73,-56,-54,-72,-74,-77,-77,-63,-63,-53,-55
"728",4,0.6,-69,-62,-47,-60,-72,-72,-74,-58,-64,-53,-68
"729",4,1.1,-64,-62,-43,-81,-69,-73,-80,-59,-60,-55,-75
"730",4,1.7,-72,-61,-42,-62,-68,-74,-78,-61,-60,-49,-71
"731",4,2.3,-70,-64,-54,-59,-65,-73,-78,-59,-61,-54,-71
"732",4,2.9,-66,-64,-61,-56,-63,-66,-73,-56,-57,-47,-71
"733",4,3.5,-70,-63,-59,-51,-59,-71,-69,-54,-57,-52,-71
"734",4,4,-69,-66,-61,-57,-70,-66,-72,-58,-59,-57,-73
"755",4,2.1,-75,-58,-46,-73,-71,-78,-78,-62,-66,-51,-62
"756",4,1.6,-71,-60,-46,-76,-71,-77,-78,-68,-63,-57,-59
"757",4,1,-65,-58,-55,-65,-76,-75,-78,-60,-70,-52,-57
"758",4,0.5,-64,-56,-51,-71,-75,-71,-76,-59,-61,-52,-44
"761",4,0.5,-66,-57,-43,-68,-69,-78,-75,-59,-75,-51,-67
"762",4,1.1,-63,-61,-43,-62,-63,-75,-75,-58,-58,-51,-67
"763",4,1.7,-70,-58,-44,-60,-67,-69,-75,-63,-58,-52,-67
"764",4,2.3,-64,-66,-50,-61,-67,-74,-77,-62,-63,-50,-67
"768",4,4,-71,-62,-51,-59,-62,-68,-79,-55,-63,-53,-69
"769",4,3.5,-75,-64,-55,-68,-68,-74,-79,-63,-63,-54,-69
"770",4,2.9,-75,-61,-50,-71,-65,-76,-79,-58,-61,-51,-69
"771",4,2.3,-75,-54,-46,-85,-71,-86,-79,-61,-69,-52,-63
"777",4,0.5,-67,-56,-49,-63,-76,-74,-80,-64,-64,-51,-53
"778",4,1.1,-68,-59,-42,-59,-73,-69,-80,-58,-62,-52,-53
"779",4,1.7,-71,-77,-41,-54,-79,-84,-79,-59,-62,-52,-72
"780",4,2.3,-65,-67,-53,-61,-64,-73,-79,-57,-63,-51,-72
"781",4,2.9,-69,-70,-55,-59,-67,-76,-79,-59,-58,-52,-72
"782",4,3.5,-71,-71,-58,-56,-64,-68,-66,-56,-65,-49,-75
"783",4,4,-66,-71,-59,-57,-61,-72,-71,-58,-59,-52,-75
"784",4,4,-71,-61,-52,-61,-58,-74,-68,-62,-67,-58,-67
"785",4,3.6,-70,-59,-56,-60,-66,-69,-65,-57,-60,-52,-67
"786",4,3,-64,-63,-47,-58,-65,-71,-65,-62,-67,-54,-84
"787",4,2.4,-68,-58,-44,-63,-67,-74,-81,-61,-67,-53,-69
"788",4,1.8,-69,-59,-55,-74,-74,-79,-75,-64,-67,-54,-69
"789",4,1.2,-68,-57,-45,-76,-76,-80,-75,-62,-63,-51,-54
"790",4,0.6,-69,-58,-48,-68,-77,-84,-75,-58,-63,-54,-57
"793",4,0.6,-69,-54,-49,-58,-68,-70,-72,-61,-62,-51,-62
"794",4,1.3,-65,-62,-49,-63,-66,-70,-87,-57,-64,-54,-64
"795",4,2,-76,-65,-41,-59,-68,-71,-79,-58,-58,-54,-74
"796",4,2.6,-72,-65,-43,-58,-68,-71,-74,-57,-65,-51,-74
"797",4,3.4,-68,-59,-55,-59,-63,-72,-68,-58,-65,-53,-76
"798",4,4,-67,-59,-58,-64,-60,-69,-67,-58,-60,-53,-76
"799",4,4,-74,-62,-48,-58,-62,-71,-77,-60,-62,-54,-73
"807",4,0.7,-61,-56,-47,-60,-70,-76,-80,-58,-61,-52,-60
"808",4,1.3,-69,-64,-42,-59,-73,-82,-84,-57,-61,-52,-61
"809",4,2,-72,-60,-48,-57,-67,-70,-80,-61,-64,-50,-72
"810",4,2.7,-69,-62,-47,-61,-72,-71,-80,-62,-66,-53,-73
"811",4,3.4,-67,-62,-63,-59,-68,-72,-65,-59,-66,-55,-73
"812",4,4,-74,-66,-57,-60,-60,-68,-69,-58,-58,-55,-74
"820",4,0.8,-70,-60,-46,-65,-77,-77,-75,-58,-63,-49,-64
"821",4,1.6,-70,-70,-43,-68,-79,-73,-75,-56,-63,-52,-65
"822",4,2.4,-69,-60,-43,-55,-69,-68,-75,-60,-63,-50,-71
"823",4,3.2,-71,-67,-53,-61,-69,-68,-65,-59,-70,-53,-71
"824",4,4,-62,-63,-60,-60,-76,-67,-69,-62,-66,-52,-71
"837",4,4,-70,-60,-49,-59,-68,-70,-71,-56,-63,-49,-72
"839",4,2,-70,-62,-55,-64,-64,-69,-71,-62,-60,-51,-69
"840",4,1,-69,-62,-46,-58,-65,-69,-79,-62,-60,-53,-64
"843",4,1,-66,-57,-41,-68,-66,-71,-73,-54,-59,-51,-63
"844",4,2,-69,-64,-46,-60,-68,-70,-76,-57,-59,-52,-63
"845",4,3,-67,-59,-43,-59,-65,-72,-78,-62,-63,-48,-72
"846",4,4,-69,-61,-51,-58,-67,-69,-70,-59,-63,-49,-72
"848",4,2.6,-67,-61,-58,-59,-71,-67,-83,-60,-64,-52,-71
"849",4,1.3,-69,-60,-47,-64,-70,-74,-83,-69,-64,-52,-69
"855",4,4,-70,-61,-49,-60,-64,-75,-74,-61,-62,-52,-73
