0,-60,-61,-66,-75,-78,-70,-60,-65,-46,-49,-56
0,-61,-51,-63,-82,-68,-78,-77,-75,-60,-49,-59
0,-61,-67,-69,-75,-77,-66,-77,-60,-46,-49,-55
0,-56,-51,-55,-67,-67,-76,-76,-69,-63,-47,-58
0,-57,-62,-64,-75,-67,-66,-64,-59,-51,-49,-55
0,-56,-60,-61,-76,-69,-73,-79,-67,-63,-41,-69
0,-56,-62,-61,-71,-74,-69,-61,-58,-63,-47,-54
0,-62,-58,-62,-70,-79,-79,-79,-64,-59,-45,-65
0,-60,-65,-62,-76,-73,-67,-63,-58,-49,-47,-65
0,-50,-64,-67,-68,-72,-70,-77,-63,-61,-41,-65
0,-50,-64,-69,-68,-73,-67,-67,-59,-61,-48,-55
0,-54,-56,-70,-70,-81,-72,-67,-66,-55,-34,-69
0,-61,-56,-60,-75,-81,-69,-67,-58,-55,-49,-53
0,-58,-56,-61,-73,-68,-81,-67,-60,-62,-37,-63
0,-54,-64,-64,-73,-72,-81,-68,-59,-49,-49,-55
0,-51,-71,-61,-67,-68,-68,-70,-63,-60,-36,-65
0,-58,-64,-67,-77,-73,-69,-65,-57,-60,-51,-56
0,-55,-70,-63,-70,-76,-71,-120,-61,-48,-46,-52
0,-46,-63,-66,-74,-69,-72,-71,-65,-56,-42,-61
2,-120,-66,-70,-78,-72,-71,-57,-73,-53,-54,-59
6,-62,-71,-68,-78,-72,-63,-56,-65,-52,-56,-74
6,-62,-71,-72,-62,-58,-50,-45,-62,-37,-56,-73
2,-120,-66,-67,-62,-68,-55,-47,-59,-40,-55,-74
0,-120,-65,-67,-75,-61,-75,-60,-65,-50,-56,-72
3.9,-120,-69,-70,-74,-71,-72,-53,-67,-50,-54,-66
6,-120,-72,-74,-74,-61,-56,-44,-59,-36,-120,-73
2,-67,-63,-71,-76,-60,-55,-45,-59,-38,-120,-68
0,-59,-62,-71,-61,-72,-75,-57,-65,-46,-120,-63
1.6,-60,-66,-71,-77,-72,-69,-54,-67,-52,-59,-63
3,-63,-65,-76,-74,-72,-69,-52,-71,-51,-59,-63
6,-66,-75,-76,-73,-67,-66,-57,-63,-45,-60,-120
4.5,-72,-71,-72,-65,-62,-50,-46,-62,-39,-59,-72
3,-72,-68,-70,-64,-59,-51,-45,-64,-44,-60,-72
1.5,-64,-66,-70,-63,-59,-58,-42,-68,-36,-59,-72
0,-64,-70,-74,-68,-67,-61,-48,-65,-38,-57,-67
0,-62,-65,-74,-76,-74,-61,-53,-65,-56,-57,-67
2.5,-62,-72,-120,-72,-67,-73,-53,-66,-53,-58,-120
4.7,-73,-71,-120,-69,-67,-60,-51,-65,-44,-58,-120
6,-64,-75,-75,-62,-56,-57,-46,-66,-37,-120,-77
3.5,-69,-72,-70,-67,-63,-50,-45,-60,-41,-120,-69
1.2,-69,-69,-71,-69,-67,-57,-43,-67,-44,-120,-68
0,-58,-63,-73,-77,-83,-77,-58,-67,-46,-120,-58
2.4,-58,-79,-73,-74,-72,-66,-56,-70,-45,-120,-65
4.8,-65,-71,-74,-76,-78,-64,-44,-68,-41,-120,-68
6,-62,-69,-74,-63,-62,-48,-48,-67,-38,-120,-73
3.6,-72,-75,-69,-66,-64,-50,-46,-64,-38,-58,-120
1.2,-67,-71,-73,-64,-59,-57,-43,-59,-37,-54,-120
0,-58,-62,-72,-77,-72,-63,-56,-61,-50,-53,-120
1,-61,-69,-70,-77,-72,-65,-59,-72,-52,-57,-62
