"x","y","AP1","AP2","AP3","AP4","AP5","AP6","AP7","AP8","AP9","AP10","AP11"
"360",2,1.7,-60,-70,-52,-71,-67,-77,-71,-51,-53,-42,-69
"361",2,1.1,-56,-58,-63,-72,-71,-70,-71,-59,-61,-43,-60
"362",2,0.6,-55,-56,-61,-82,-71,-70,-73,-64,-62,-39,-63
"365",2,0.5,-49,-59,-74,-68,-64,-67,-64,-51,-61,-51,-63
"366",2,1.1,-57,-61,-61,-71,-64,-60,-69,-46,-61,-53,-65
"367",2,1.7,-57,-60,-61,-71,-61,-67,-71,-45,-61,-55,-71
"368",2,2.2,-57,-69,-66,-65,-57,-64,-66,-43,-61,-57,-71
"369",2,2.8,-57,-71,-60,-67,-53,-65,-66,-40,-55,-56,-71
"374",2,5,-46,-66,-62,-69,-65,-62,-66,-53,-61,-40,-61
"375",2,4.5,-49,-59,-74,-68,-64,-67,-64,-51,-61,-51,-63
"376",2,3.9,-57,-61,-61,-71,-64,-60,-69,-46,-61,-53,-65
"377",2,3.3,-57,-60,-61,-71,-61,-67,-71,-45,-61,-55,-71
"378",2,2.8,-57,-69,-66,-65,-57,-64,-66,-43,-61,-57,-71
"379",2,2.2,-57,-71,-60,-67,-53,-65,-66,-40,-55,-56,-71
"385",2,0.6,-48,-59,-59,-76,-72,-68,-67,-49,-54,-46,-63
"386",2,1.2,-59,-66,-59,-69,-61,-67,-69,-45,-53,-53,-63
"387",2,1.9,-62,-73,-65,-72,-61,-65,-68,-52,-58,-51,-70
"388",2,2.5,-61,-74,-66,-69,-61,-62,-72,-51,-53,-58,-70
"389",2,3.2,-61,-75,-60,-64,-57,-64,-62,-40,-60,-57,-70
"390",2,3.8,-64,-74,-60,-62,-59,-65,-61,-44,-51,-59,-73
"391",2,4.4,-64,-78,-60,-63,-56,-60,-76,-52,-51,-60,-73
"392",2,5,-64,-73,-67,-58,-60,-61,-58,-59,-58,-61,-73
"393",2,5,-65,-63,-60,-54,-54,-63,-70,-54,-49,-55,-69
"394",2,4.4,-64,-64,-54,-55,-59,-64,-70,-52,-61,-56,-76
"395",2,3.8,-60,-64,-67,-62,-59,-66,-75,-46,-61,-52,-72
"396",2,3.1,-59,-60,-59,-64,-67,-70,-75,-44,-61,-54,-69
"397",2,2.5,-61,-62,-57,-57,-67,-71,-75,-47,-58,-53,-71
"398",2,1.9,-61,-72,-61,-63,-69,-74,-64,-47,-59,-54,-75
"399",2,1.2,-66,-61,-68,-78,-66,-70,-64,-50,-66,-45,-70
"400",2,0.6,-66,-62,-62,-70,-72,-72,-64,-60,-61,-42,-69
"403",2,0.6,-51,-61,-60,-66,-66,-67,-66,-51,-53,-54,-66
"404",2,1.2,-57,-57,-67,-69,-61,-61,-72,-46,-56,-55,-67
"405",2,1.9,-70,-73,-66,-66,-59,-64,-65,-51,-57,-54,-67
"406",2,2.5,-63,-79,-71,-67,-59,-61,-59,-46,-52,-54,-73
"407",2,3.1,-63,-72,-59,-67,-55,-68,-63,-45,-57,-57,-73
"408",2,3.8,-62,-73,-72,-61,-63,-63,-63,-45,-57,-60,-78
"409",2,4.4,-64,-73,-63,-59,-59,-60,-69,-58,-57,-58,-78
"410",2,5,-69,-81,-65,-59,-58,-65,-62,-55,-57,-59,-78
