"x","y","AP1","AP2","AP3","AP4","AP5","AP6","AP7","AP8","AP9","AP10","AP11"
"414",2,2.8,-62,-60,-61,-50,-65,-70,-63,-50,-57,-54,-67
"415",2,2.1,-61,-74,-60,-62,-64,-75,-63,-40,-58,-55,-66
"416",2,1.4,-60,-73,-79,-63,-69,-69,-63,-47,-57,-50,-71
"417",2,0.7,-67,-63,-56,-71,-66,-71,-72,-52,-58,-42,-66
"427",2,5,-66,-66,-59,-70,-58,-62,-76,-54,-54,-57,-72
"428",2,4.1,-79,-69,-58,-61,-63,-62,-74,-60,-57,-58,-72
"429",2,3.3,-62,-65,-63,-63,-62,-70,-74,-53,-57,-57,-72
"439",2,4.1,-64,-76,-60,-69,-60,-64,-61,-42,-53,-57,-78
"440",2,5,-64,-70,-60,-71,-62,-69,-61,-47,-56,-59,-75
"441",2,5,-77,-63,-61,-55,-58,-63,-62,-54,-53,-57,-71
"442",2,4,-71,-62,-61,-66,-50,-68,-64,-54,-53,-57,-77
"443",2,3,-63,-61,-60,-66,-65,-67,-64,-46,-55,-55,-72
"444",2,2,-74,-60,-60,-66,-68,-67,-63,-41,-55,-52,-69
"445",2,1,-62,-64,-61,-58,-65,-70,-64,-46,-55,-55,-75
"448",2,0.8,-47,-59,-60,-71,-67,-66,-75,-49,-50,-46,-61
"449",2,1.6,-58,-64,-64,-72,-64,-62,-75,-51,-53,-52,-72
"450",2,2.5,-58,-70,-64,-76,-56,-64,-67,-41,-59,-52,-72
"451",2,3.3,-63,-72,-74,-70,-56,-63,-60,-43,-59,-53,-78
"452",2,4.1,-64,-72,-58,-65,-60,-64,-62,-44,-57,-55,-74
"453",2,5,-64,-72,-64,-61,-61,-61,-62,-45,-57,-55,-76
"454",2,5,-63,-64,-61,-59,-61,-61,-60,-55,-53,-58,-68
"462",2,2,-59,-64,-63,-72,-61,-61,-72,-51,-56,-51,-62
"463",2,3,-57,-61,-67,-67,-58,-66,-73,-48,-54,-53,-69
"464",2,4,-65,-61,-60,-67,-58,-65,-63,-44,-54,-51,-73
"465",2,5,-63,-69,-64,-69,-54,-62,-60,-45,-53,-55,-73
"477",2,5,-65,-62,-58,-66,-55,-66,-77,-52,-50,-59,-68
"478",2,3.7,-65,-65,-58,-59,-59,-60,-77,-51,-50,-58,-73
"479",2,2.5,-63,-63,-64,-58,-66,-64,-68,-46,-60,-54,-73
"480",2,1.3,-64,-70,-64,-60,-73,-74,-70,-47,-61,-52,-72
"483",2,1.2,-66,-60,-64,-67,-63,-73,-69,-51,-64,-46,-64
"484",2,2.5,-59,-64,-62,-76,-60,-63,-72,-55,-61,-51,-62
"485",2,3.9,-61,-68,-63,-70,-61,-69,-72,-46,-59,-51,-71
"486",2,5,-61,-62,-61,-66,-59,-65,-63,-42,-51,-50,-70
"492",2,1.6,-46,-60,-61,-76,-77,-64,-69,-54,-54,-49,-64
"493",2,3.4,-58,-61,-61,-84,-60,-61,-70,-46,-54,-50,-67
"494",2,5,-57,-63,-61,-75,-63,-68,-70,-50,-59,-52,-68
"495",2,5,-74,-62,-60,-57,-57,-63,-69,-53,-50,-55,-69
"500",2,1.6,-52,-59,-61,-69,-64,-68,-68,-54,-53,-48,-58
"501",2,3.3,-58,-62,-60,-73,-60,-61,-67,-46,-57,-52,-67
"502",2,5,-67,-69,-61,-72,-59,-65,-69,-45,-57,-53,-69
