1,0,-60,-61,-66,-75,-78,-70,-60,-65,-46,-49,-56
2,0,-61,-51,-63,-82,-68,-78,-77,-75,-60,-49,-59
3,0,-61,-67,-69,-75,-77,-66,-77,-60,-46,-49,-55
4,0,-56,-51,-55,-67,-67,-76,-76,-69,-63,-47,-58
5,0,-57,-62,-64,-75,-67,-66,-64,-59,-51,-49,-55
6,0,-56,-60,-61,-76,-69,-73,-79,-67,-63,-41,-69
7,0,-56,-62,-61,-71,-74,-69,-61,-58,-63,-47,-54
8,0,-62,-58,-62,-70,-79,-79,-79,-64,-59,-45,-65
9,0,-60,-65,-62,-76,-73,-67,-63,-58,-49,-47,-65
10,0,-50,-64,-67,-68,-72,-70,-77,-63,-61,-41,-65
11,0,-50,-64,-69,-68,-73,-67,-67,-59,-61,-48,-55
12,0,-54,-56,-70,-70,-81,-72,-67,-66,-55,-34,-69
13,0,-61,-56,-60,-75,-81,-69,-67,-58,-55,-49,-53
14,0,-58,-56,-61,-73,-68,-81,-67,-60,-62,-37,-63
15,0,-54,-64,-64,-73,-72,-81,-68,-59,-49,-49,-55
16,0,-51,-71,-61,-67,-68,-68,-70,-63,-60,-36,-65
17,0,-58,-64,-67,-77,-73,-69,-65,-57,-60,-51,-56
18,0,-56,-70,-78,-78,-72,-68,-120,-62,-54,-38,-64
19,0,-55,-70,-63,-70,-76,-71,-120,-61,-48,-46,-52
20,0,-46,-63,-66,-74,-69,-72,-71,-65,-56,-42,-61
21,0,-120,-69,-69,-78,-72,-70,-57,-66,-53,-54,-59
22,2,-120,-66,-70,-78,-72,-71,-57,-73,-53,-54,-59
23,4,-120,-70,-70,-78,-72,-65,-51,-65,-45,-56,-68
24,6,-62,-71,-68,-78,-72,-63,-56,-65,-52,-56,-74
25,6,-62,-71,-72,-62,-58,-50,-45,-62,-37,-56,-73
26,4,-120,-66,-67,-61,-56,-46,-45,-57,-39,-53,-73
27,2,-120,-66,-67,-62,-68,-55,-47,-59,-40,-55,-74
28,0,-120,-70,-67,-68,-61,-57,-41,-69,-42,-55,-72
29,0,-120,-65,-67,-75,-61,-75,-60,-65,-50,-56,-72
30,1.9,-120,-69,-70,-75,-75,-75,-53,-67,-50,-54,-65
31,3.9,-120,-69,-70,-74,-71,-72,-53,-67,-50,-54,-66
32,6,-120,-69,-72,-72,-68,-59,-57,-67,-49,-54,-66
33,6,-120,-72,-74,-74,-61,-56,-44,-59,-36,-120,-73
